classs,question
HUM,എഴുത്തുകാരനായ എറിക് ഹോബറിന് വേണ്ടി സിനിമകളിൽ അഭിനയിച്ചു
HUM,ജെയിംസ് ഡ്രോട്ട് എഴുതിയ സിനിമകളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
HUM,ഹൈഡ് അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ഏത് വ്യക്തിയാണ്
ENTY,ഡേവിഡ് ഹ്യൂ ജോൺസ് സംവിധാനം ചെയ്ത സിനിമകളിലെ പ്രാഥമിക ഭാഷകൾ ഏതൊക്കെയാണ്
ENTY,ടിം റോബിൻസ് എഴുതിയ സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
HUM,തിരക്കഥാകൃത്ത് വാലസ് മാർക്ക്ഫീൽഡ് ആർക്കൊപ്പം സിനിമകൾ എഴുതിയിട്ടുണ്ട്
ENTY,വാട്ടർഷിപ്പ് ഡൗണിൻ്റെ സംവിധായകൻ ഏതൊക്കെ ചിത്രങ്ങളാണ് സംവിധാനം ചെയ്തത്
ENTY,ദി ട്രിപ്‌ലെറ്റ്‌സ് ഓഫ് ബെല്ലെവില്ലെയുടെ സംവിധായകൻ ഏതൊക്കെ സിനിമകളും സംവിധാനം ചെയ്തു
HUM,സേത്ത് ഗ്രോസ്മാൻ എഴുതിയ സിനിമകളുടെ സംവിധായകർ
HUM,ഇയാൻ അബ്രാംസ് എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചിട്ടുണ്ട്
ENTY,ലിസ ഗുറേറോ അഭിനയിച്ച സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
HUM,ഡാബ്‌നി കോൾമാൻ അഭിനയിച്ച ചിത്രങ്ങളുടെ രചയിതാക്കൾ
NUM,നവോമി വുൾഫ് എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
ENTY,വൺ ബ്ലാക്ക് ഷൂവിനൊപ്പം ദ ടോൾ ബ്ളോണ്ട് മാൻ എന്ന അതേ സംവിധായകൻ പങ്കിടുന്ന സിനിമകൾ
HUM,ടിം മാതസൻ അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്?
HUM,കോസ്റ്റ ബോട്ട്‌സ് എഴുതിയ സിനിമകൾ ആരാണ് സംവിധാനം ചെയ്തത്
NUM,മരിയ ജർവെൻഹെൽമി അഭിനയിച്ച സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
NUM,റോസ്മേരി ഫോർസിത്ത് അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
ENTY,ആൻഡ്രൂ ഡേവീസ് എഴുതിയ സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
NUM,കാം ഗിഗാൻഡെറ്റ് അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
ENTY,അവൻ ഉപേക്ഷിച്ച പെൺകുട്ടിയുടെ അതേ തിരക്കഥാകൃത്ത് ഏതൊക്കെ സിനിമകളാണ്
ENTY,മേഡ് ഓഫ് ഓണറുമായി തിരക്കഥാകൃത്ത് പങ്കിടുന്ന സിനിമകൾ
ENTY,ലോംഗ് ജോൺ സിൽവറിൻ്റെ സംവിധായകൻ ഏതൊക്കെ സിനിമകളാണ് സംവിധാനം ചെയ്തത്
HUM,സ്റ്റീവൻ മക്കാർത്തിക്കൊപ്പം ഒരേ സിനിമയിൽ പ്രത്യക്ഷപ്പെട്ടു
HUM,ഗാരി വെയ്‌സ് സംവിധാനം ചെയ്ത സിനിമകളുടെ തിരക്കഥാകൃത്ത്
HUM,ആരാണ് തിരക്കഥാകൃത്ത് പാസ്കൽ ഫെറാൻ്റെ അഭിനേതാക്കൾ
NUM,എപ്പോഴാണ് ഡാരൻ കഗാസോഫ് അഭിനയിച്ച ചിത്രങ്ങൾ റിലീസ് ചെയ്തത്
NUM,ഹിനർ സലീം രചിച്ച ചിത്രങ്ങൾ ഏതൊക്കെ വർഷങ്ങളിലാണ് പുറത്തിറങ്ങിയത്
HUM,തിരക്കഥാകൃത്ത് ജോർജ്ജ് മൂർ ആരുമായി സഹകരിച്ചാണ് സിനിമകൾ എഴുതിയത്
HUM,ബേസിൽ ഡിയർഡൻ എഴുതിയ ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
ENTY,സ്റ്റിഗ് ഫ്രോഡ് ഹെൻറിക്സൻ എഴുതിയ സിനിമകളിൽ സംസാരിക്കുന്ന ഭാഷകൾ ഏതൊക്കെയാണ്
ENTY,പ്രിയങ്ക ചോപ്ര അഭിനയിച്ച സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,ടി കെ കാർട്ടർ അഭിനയിച്ച സിനിമകളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
ENTY,Yves Montand അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്?
ENTY,The Underneath-ൻ്റെ അതേ തിരക്കഥാകൃത്ത് ഉള്ള സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ക്ലർക്കുമായി തിരക്കഥാകൃത്ത് പങ്കിടുന്ന സിനിമകൾ
HUM,വില്യം എൽ. വൈറ്റ് എഴുതിയ സിനിമകളിലെ അഭിനേതാക്കൾ
ENTY,മൈക്കൽ അൽമെറെയ്ഡ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ തരത്തിലാണ്
HUM,ജെസീക്ക ബിയലിനൊപ്പം അഭിനയിച്ചവർ
NUM,സാക്ക് ബ്രാഫ് അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
ENTY,ദി ബീസ്റ്റ് വിഥിൻ്റെ തിരക്കഥാകൃത്തും സിനിമകൾ എഴുതി
NUM,എറിക് ലോച്ചൻ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,ജോൺ റിക്വ എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചു
ENTY,എലീൻ ഏപ്രിൽ ബോയ്‌ലൻ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
NUM,ജെയിംസ് വാർഡ് ബൈർകിറ്റ് സംവിധാനം ചെയ്ത സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
ENTY,ടോപ്പ് ഹാറ്റിൻ്റെ അതേ സംവിധായകൻ ഉള്ള സിനിമകൾ
HUM,ഷു തകുമി എഴുതിയ സിനിമകളിലെ അഭിനേതാക്കൾ
ENTY,റിനോയിലെ ചാർലി ചാൻ്റെ സംവിധായകൻ തന്നെയാണ് ചിത്രങ്ങളുടെ സംവിധായകൻ
ENTY,ക്വാളിറ്റി സ്ട്രീറ്റുമായി തിരക്കഥാകൃത്ത് പങ്കിടുന്ന സിനിമകൾ
HUM,വിർജീനിയ കെല്ലോഗ് എഴുതിയ സിനിമകളുടെ സംവിധായികയായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
HUM,മാര ഹോബെൽ എന്ന നടൻ അതേ സിനിമയിൽ ആരോടൊപ്പം പ്രത്യക്ഷപ്പെട്ടു
ENTY,തോമസ് ലെമാർക്വിസ് അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
HUM,എലിസബത്ത് കാറ്റയ്‌ക്കൊപ്പം സിനിമകൾ എഴുതിയിട്ടുണ്ട്
ENTY,സൂസന്ന ഓഫ് മൗണ്ടീസിലെ അതേ നടനെ പങ്കിടുന്ന സിനിമകൾ
NUM,കാറ്റി അസെൽട്ടൺ അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
NUM,വിൽമർ വാൽഡെറാമ അഭിനയിച്ച സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തായിരുന്നു?
ENTY,ദ പ്രൈസ് ഓഫ് മിൽക്കിലെ നടൻ ഏത് ചിത്രങ്ങളിലാണ് പ്രത്യക്ഷപ്പെടുന്നത്
HUM,ജെഫ്രി ബല്ലാർഡ് അഭിനയിച്ച സിനിമകളുടെ തിരക്കഥാകൃത്തായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
NUM,യൂജിൻ ഒ നീൽ എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
NUM,സ്റ്റുവർട്ട് അർബൻ സംവിധാനം ചെയ്ത ചിത്രങ്ങൾ ഏതൊക്കെ വർഷങ്ങളിലാണ് പുറത്തിറങ്ങിയത്
HUM,ക്രിസ് ചിബ്നാൽ എഴുതിയ സിനിമകളിലെ അഭിനേതാക്കൾ
ENTY,ഐസ് ഓഫ് ലോറ മാർസിൻ്റെ സംവിധായകൻ ഏതൊക്കെ ചിത്രങ്ങളാണ് സംവിധാനം ചെയ്തത്
ENTY,ഫൂൾ ഫോർ ലൗവിലെ നടനും അഭിനയിച്ച സിനിമകൾ
ENTY,വാട്ട് എവർ ഹാപ്പൻഡ് ടു ബേബി ജെയ്നിലെ നടൻ? ഏത് സിനിമകളിലും പ്രത്യക്ഷപ്പെടുന്നു
NUM,റാഫി പിറ്റ്‌സ് എഴുതിയ സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തായിരുന്നു
ENTY,ഫാളിൻ്റെ അതേ നടനെ പങ്കിടുന്ന സിനിമകൾ
ENTY,ഡെനിസ് അർക്കണ്ട് എഴുതിയ സിനിമകളിൽ സംസാരിക്കുന്ന ഭാഷകൾ ഏതൊക്കെയാണ്
NUM,പീറ്റർ ഹ്യൂക്ക് എഴുതിയ ചിത്രങ്ങൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
ENTY,ദ ലാസ്റ്റ് കിസിൻ്റെ അതേ സംവിധായകൻ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,വെരാക്രൂസിൻ്റെ തിരക്കഥാകൃത്ത് ഏതൊക്കെ ചിത്രങ്ങളാണ് എഴുതിയത്
HUM,വിഡോർ രാജാവിൻ്റെ സഹ-എഴുത്തുകാർ
ENTY,മൈക്കൽ ജയ് വൈറ്റ് അഭിനയിച്ച സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
ENTY,ദി തീഫ് ലോർഡിൻ്റെ തിരക്കഥാകൃത്തും ഏതൊക്കെ സിനിമകളാണ് എഴുതിയത്
NUM,ഡേവിഡ് ഹെൻറി ഹ്വാങ് എഴുതിയ സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,വോയ്‌സിക് ഹാസ് സംവിധാനം ചെയ്ത സിനിമകൾ എഴുതിയത്
ENTY,ഇൻട്രൊഡ്യൂസിംഗ് ഡൊറോത്തി ഡാൻഡ്രിഡ്ജിൻ്റെ സംവിധായകൻ ഏതൊക്കെ സിനിമകളാണ് സംവിധാനം ചെയ്തത്
HUM,ചാൾസ് ലെഡറർ എഴുതിയ സിനിമകളിലെ അഭിനേതാക്കൾ
NUM,ട്രോയ് ഡൊണാഹ്യൂ അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
ENTY,മാഡം ഡി ലാ ഫയെറ്റ് എഴുതിയ സിനിമകളിലെ പ്രധാന ഭാഷകൾ ഏതൊക്കെയാണ്
NUM,ഷെറി മൂൺ സോംബി അഭിനയിച്ച ചിത്രങ്ങൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,ഹോവാർഡ് സ്റ്റെർനുമായി സഹ-രചയിതാവ്
HUM,മരിയോ മച്ചാഡോ അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്?
NUM,ഡൊണാൾഡ് റൈസ് സംവിധാനം ചെയ്ത സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
HUM,മിയ കിർഷ്‌നർ അഭിനയിച്ച സിനിമകളുടെ സംവിധായികയായി പട്ടികയിൽ ഇടം നേടിയിട്ടുണ്ട്
HUM,മൗറീസ് വെർണനൊപ്പം സിനിമകൾ എഴുതിയിട്ടുണ്ട്
NUM,എപ്പോഴാണ് ഗോറാൻ മർയനോവിച്ച് അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത്
ENTY,കെൻ്റ് ആൾട്ടർമാൻ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
NUM,മാർക്ക് മക്മാനസ് അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,ഷെമർ മൂർ അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്തത്
NUM,വിട്ടോറിയോ ഡി ബെനഡെറ്റി എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,അഹരോൺ കെഷാലെസ് എഴുതിയ സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
NUM,Ede Tarbay എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,കാമെൻ കലേവ് എഴുതിയ സിനിമകളിലെ പ്രധാന ഭാഷകൾ ഏതൊക്കെയാണ്
NUM,കാം ആർച്ചർ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
ENTY,പോൾ ഹാഗിസ് സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
ENTY,ഹിറ്റ് ആൻഡ് റണ്ണിലെ നടൻ ഏത് സിനിമകളിലാണ് പ്രത്യക്ഷപ്പെടുന്നത്
ENTY,സാറാ വില്യംസ് എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
HUM,സ്കോട്ട് വിൽസണൊപ്പം അഭിനയിച്ചവർ
ENTY,ഫ്ലാഗ്‌സ് ഓഫ് ഔർ ഫാദേഴ്‌സിൻ്റെ അതേ സംവിധായകൻ തന്നെ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ദി ഡേ ഓഫ് ദി ട്രിഫിഡ്‌സിൻ്റെ തിരക്കഥാകൃത്ത് ഏതൊക്കെ ചിത്രങ്ങളാണ് എഴുതിയത്
ENTY,ഡോറിയൻ ഗ്രേയുടെ സംവിധായകൻ ഏതൊക്കെ സിനിമകളാണ് സംവിധാനം ചെയ്തത്
ENTY,ഐ ലവ് ട്രബിളിൻ്റെ തിരക്കഥാകൃത്ത് ഏതൊക്കെ ചിത്രങ്ങളാണ് എഴുതിയത്
ENTY,ട്രൈലോജി ഓഫ് ടെറർ II ലെ നടനും ഏത് സിനിമകളിൽ അഭിനയിച്ചു
ENTY,ഫെർണാണ്ടോ സാഞ്ചോ അഭിനയിച്ച സിനിമകളുടെ തരങ്ങൾ ഏതൊക്കെയാണ്
HUM,എസ് ഇ ഹിൻ്റൺ എഴുതിയ ചിത്രങ്ങളുടെ സംവിധായകർ
NUM,സൈമൺ ഓക്ക്‌ലാൻഡ് അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,ജോൺ സ്‌പൈറ്റ്‌സ് എഴുതിയ ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
HUM,അന്ന മാസി അഭിനയിച്ച സിനിമകളുടെ സംവിധായികയായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
ENTY,ഇൻവിസിബിൾ വേവ്സിലെ നടൻ ഏത് സിനിമകളിലാണ് പ്രത്യക്ഷപ്പെടുന്നത്
HUM,ഡാന ആദം ഷാപ്പിറോ എഴുതിയ ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
HUM,ഗ്രാൻ്റ് സ്റ്റുവർട്ട് എഴുതിയ സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
NUM,മിലി അവിതൽ അഭിനയിച്ച സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,ക്രിസ് മുൽക്കി അഭിനയിച്ച സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
ENTY,ഡേവിഡ് കീറ്റിംഗ് എഴുതിയ സിനിമകൾ ഏതൊക്കെ തരത്തിലാണ്
NUM,ഫിലിപ്പ് മുയിൽ എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,ഷുഗർ ടൗണിൻ്റെ അതേ സംവിധായകൻ പങ്കിടുന്ന സിനിമകൾ
ENTY,നമ്മുടെ മുന്തിരിയുടെ അതേ സംവിധായകൻ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെയാണ് ടെൻഡർ ഗ്രേപ്സ്
ENTY,ജോൺ ക്വാലൻ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,നൈറ്റ് അറ്റ് ദ മ്യൂസിയത്തിൻ്റെ അതേ സംവിധായകൻ തന്നെ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
HUM,മോനിക്കിനൊപ്പം അഭിനയിച്ചവർ
HUM,മാത്യു മണൽ എഴുതിയ സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
HUM,ജോർജ് ഡിലിയ അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്തയാൾ
HUM,ലുയിഗി ബാർട്ടോലിനിയുടെ സഹ-എഴുത്തുകാരാണ്
ENTY,80 ദിവസത്തിനുള്ളിൽ ലോകമെമ്പാടുമുള്ള ഒരേ നടനെ പങ്കിടുന്ന സിനിമകൾ
ENTY,മക്കോട്ടോ ഷിൻകായ് അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
HUM,ജെറാർഡ് ജോൺസൺ സംവിധാനം ചെയ്ത ചിത്രങ്ങളിൽ അഭിനയിച്ചിട്ടുണ്ട്
ENTY,റോബർട്ട് ഇസഡ്. ലിയോനാർഡ് സംവിധാനം ചെയ്ത സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,ഷീലാ ടെറി അഭിനയിച്ച സിനിമകളുടെ തിരക്കഥാകൃത്ത്
ENTY,മേരി കോർൺമാൻ അഭിനയിച്ച സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
HUM,ഫ്രാൻസെസ്കോ കാസിസ അഭിനയിച്ച സിനിമകളുടെ രചയിതാക്കൾ
ENTY,വില്യം ഡേവിസ് എഴുതിയ സിനിമകളിലെ പ്രധാന ഭാഷകൾ ഏതൊക്കെയാണ്
ENTY,കോസ് ഫോർ അലാറത്തിൻ്റെ നടൻ! ഏത് ചിത്രങ്ങളിലും അഭിനയിച്ചു
HUM,മിയ സാറ അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്?
ENTY,ദ ബോയ് നെക്സ്റ്റ് ഡോറിലെ നടനും ഏത് ചിത്രങ്ങളിൽ അഭിനയിച്ചു
HUM,ജോയൽ കോഹൻ എഴുതിയ ചിത്രങ്ങളുടെ സംവിധായകർ
ENTY,ഫാബിയൻ ബിലിൻസ്കി എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
HUM,ടിം മഗ്രോ അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്
ENTY,ദ ഡെഡ് പൂളിൻ്റെ സംവിധായകൻ തന്നെയാണ് ഏത് ചിത്രങ്ങളുടെ സംവിധായകനും
NUM,എഡ്വേർഡ് ചൈൽഡ്സ് കാർപെൻ്റർ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
NUM,ഡെന്നിസ് ഫാനിംഗ് എഴുതിയ സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
NUM,ലൂസിയാന പെദ്രസ അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
HUM,കിം ലിയോണയ്‌ക്കൊപ്പം സിനിമകൾ എഴുതിയിട്ടുണ്ട്
HUM,ഫ്രാങ്ക് റയാൻ എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചു
HUM,ജോൺ സി. റെയ്‌ലി എഴുതിയ സിനിമകളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
HUM,മില്ലിസെൻ്റ് ഷെൽട്ടൺ എഴുതിയ ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
ENTY,ഹേവുഡ് ഗൗൾഡ് എഴുതിയ സിനിമകൾ ഏതൊക്കെ തരത്തിലാണ്
HUM,ക്ലിഫ് പ്രൗസ് എന്ന നടൻ സഹനടനാണ്
ENTY,ജെറമി ഗാരെലിക്ക് എഴുതിയ സിനിമകളിൽ ഏതൊക്കെ അഭിനേതാക്കളാണ് അഭിനയിച്ചത്
ENTY,ദ ഡ്യുവലിസ്റ്റുകളുടെ അതേ സംവിധായകൻ ഉള്ള സിനിമകൾ
ENTY,ഹിരോമാസ യോനെബയാഷി സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
HUM,കെവിൻ ഡ്രോണി എഴുതിയ ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
HUM,റിച്ചാർഡ് ഷെങ്ക്മാൻ എഴുതിയ ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
NUM,എമിൽ സ്റ്റേൺ എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
NUM,എസ് എൻ ബെഹ്മാൻ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,ജാക്വലിൻ സ്കോട്ട് അഭിനയിച്ച ചിത്രങ്ങൾ സംവിധാനം ചെയ്തത്
NUM,ഇമ്മാനുവൽ കാരേർ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
NUM,ജീൻ കോസ്മോസ് എഴുതിയ സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
ENTY,ബ്രയാൻ ഗുഡ്മാൻ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
NUM,ആൻ്റണി ആംസ്ട്രോങ് എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,കുർട്ട് ഫ്രേ എഴുതിയ സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
ENTY,ഹോയ്റ്റ് യെറ്റ്മാൻ എഴുതിയ സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
ENTY,മിത്ജ ഒകോർൺ സംവിധാനം ചെയ്ത സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
NUM,വിക്ടോറിയ ഹരലബിദൗ അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
NUM,ജോഡി ലിൻ ഒകീഫ് അഭിനയിച്ച ചിത്രങ്ങൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
ENTY,ദി ഫ്യൂജിറ്റീവിൻ്റെ അതേ തിരക്കഥാകൃത്ത് ഏതൊക്കെ സിനിമകളാണ്
