text,type,labelname
"എങ്ങനെയാണ് സെർഫോം വികസിപ്പിച്ചത്, തുടർന്ന് റഷ്യ വിട്ടു?",manner,DESC
പോപ്പി ഡോയൽ എന്ന കഥാപാത്രത്തെ അവതരിപ്പിച്ച സിനിമകൾ ഏതാണ്?,cremat,ENTY
സെലിബ്രിറ്റികളുടെ യഥാർത്ഥ പേരുകളുടെ ഒരു ലിസ്റ്റ് എനിക്ക് എങ്ങനെ കണ്ടെത്താനാകും?,manner,DESC
ചൈനീസ് കുരങ്ങൻ വർഷത്തിനു ശേഷം ശ്രദ്ധ പിടിച്ചുപറ്റുന്ന കോഴി ഏതാണ്?,animal,ENTY
.com-ന്റെ പൂർണ്ണ രൂപം എന്താണ്?,exp,ABBR
ഏത് നിന്ദ്യനായ നീചനാണ് എന്റെ ഉച്ചഭക്ഷണത്തിൽ നിന്ന് കോർക്ക് മോഷ്ടിച്ചത്?,ind,HUM
ബേസ്ബോളിന്റെ സെന്റ് ലൂയിസ് ബ്രൗൺസ് ഏത് ടീമായി മാറി?,gr,HUM
ഏറ്റവും പഴയ തൊഴിൽ ഏതാണ്?,title,HUM
കരൾ എൻസൈമുകൾ എന്തൊക്കെയാണ്?,def,DESC
ദി ഓൾഡ് വെസ്റ്റിലെ സ്‌കാർ-ഫേസ്ഡ് ബൗണ്ടി ഹണ്ടറിന്റെ പേര്.,ind,HUM
എപ്പോഴാണ് ഓസി ഓസ്ബോൺ ജനിച്ചത്?,date,NUM
എന്തുകൊണ്ടാണ് ഭാരമുള്ള വസ്തുക്കൾ വേഗത്തിൽ താഴേക്ക് സഞ്ചരിക്കുന്നത്?,reason,DESC
യാങ്കികളുടെ അഭിമാനം ആരായിരുന്നു?,ind,HUM
ആരാണ് ഗാന്ധിയെ കൊന്നത്?,ind,HUM
ഇൻഷുറൻസ് വ്യവസായം ഇതുവരെ നേരിട്ടിട്ടുള്ളതിൽ വച്ച് ഏറ്റവും ചെലവേറിയ ദുരന്തമായി കണക്കാക്കപ്പെടുന്നത് എന്താണ്?,event,ENTY
ഏത് യുഎസ് സംസ്ഥാനത്താണ് ഏറ്റവും കൂടുതൽ വിമാനത്താവളങ്ങൾ ഉള്ളത്?,state,LOC
യു.എസ് ഭരണഘടനയുടെ റദ്ദാക്കിയ ഒരേയൊരു ഭേദഗതി എന്താണ് കൈകാര്യം ചെയ്തത്?,desc,DESC
രണ്ടാം ലോകമഹായുദ്ധസമയത്ത് തടങ്കൽപ്പാളയങ്ങളിൽ വച്ച് എത്ര ജൂതന്മാരെ വധിച്ചു?,count,NUM
എന്താണ് `` ഒമ്പത് ഇഞ്ച് നഖങ്ങൾ'?,def,DESC
എന്താണ് ഒരു വ്യാഖ്യാന ഗ്രന്ഥസൂചിക?,def,DESC
ബോക്സിംഗ് ഡേയുടെ തീയതി എന്താണ്?,date,NUM
കുത്തകയിൽ ഏത് വസ്ത്രങ്ങളാണ് ടോക്കണുകൾ?,other,ENTY
പ്രശസ്തരായ 11 രക്തസാക്ഷികളുടെ പേര് നൽകുക,ind,HUM
എന്താണ് ഒളിമ്പിക് മുദ്രാവാക്യം?,desc,DESC
സ്കാർലറ്റ് എന്ന പേരിന്റെ ഉത്ഭവം എന്താണ്?,desc,DESC
ഇംഗ്ലീഷിൽ ഏറ്റവും കൂടുതൽ ഉപയോഗിക്കുന്ന രണ്ടാമത്തെ സ്വരാക്ഷരമെന്താണ്?,letter,ENTY
സില്ലി പുട്ടിയുടെ ഉപജ്ഞാതാവ് ആരായിരുന്നു?,ind,HUM
യുണൈറ്റഡ് സ്റ്റേറ്റ്സിലെ ഏറ്റവും ഉയരമുള്ള വെള്ളച്ചാട്ടം ഏതാണ്?,other,LOC
മർട്ടിൽ ബീച്ചിലെ ഒരു ഗോൾഫ് കോഴ്സിന് പേര് നൽകുക,other,ENTY
ചെസാപീക്ക് ബേ ഉൾക്കൊള്ളുന്ന രണ്ട് സംസ്ഥാനങ്ങൾ ഏതാണ്?,state,LOC
എയ്ഡ്സ് എന്ന ചുരുക്കെഴുത്ത് എന്തിനെ സൂചിപ്പിക്കുന്നു?,exp,ABBR
ഒരു ബീജരോഗവിദഗ്ദ്ധൻ എന്താണ് ശേഖരിക്കുന്നത്?,other,ENTY
ഒരു ഫൈവ്‌പിൻ ബൗളിംഗ് സ്‌കോർ എത്ര പോയിന്റാണ്?,count,NUM
വീഡിയോ ഗെയിം ഹാർഡ്‌വെയർ നിർമ്മിക്കുന്ന ഏത് കമ്പനിയാണ് `` സൂപ്പർ സിസ്റ്റം' വിൽക്കുന്നത്?,gr,HUM
മോണോപൊളിയിൽ എത്ര കമ്മ്യൂണിറ്റി ചെസ്റ്റ് കാർഡുകൾ ഉണ്ട്?,count,NUM
മോർമോൺസ് എന്താണ് വിശ്വസിക്കുന്നത്?,desc,DESC
നിയാണ്ടർത്തൽ മനുഷ്യൻ എപ്പോഴാണ് ജീവിച്ചിരുന്നത്?,date,NUM
ഏത് മതത്തിലാണ് ഐസിസ് പ്രകൃതി ദേവതയായത്?,religion,ENTY
`` ദി സ്വിസ് ഫാമിലി റോബിൻസൺ' ന്റെ സാഹസികത എവിടെയാണ് നടക്കുന്നത്?,other,LOC
റാക്കൂണിന്റെ ഏത് ബന്ധുവാണ് ചിലപ്പോൾ പൂച്ച കരടി എന്നറിയപ്പെടുന്നത്?,animal,ENTY
യാഹൂവിൽ എന്റെ വെബ്‌സൈറ്റ് എങ്ങനെ സൗജന്യമായി രജിസ്റ്റർ ചെയ്യാം?,manner,DESC
പണബോധമുള്ള കേണൽ എഡ്വിൻ എൽ ഡ്രേക്ക് ആദ്യം ഡ്രിൽ ചെയ്തത് എന്താണ്?,other,ENTY
ലോകത്ത് എത്ര പേർ ഫ്രഞ്ച് സംസാരിക്കുന്നു?,count,NUM
വീനസ് ഡി മിലോയ്ക്ക് ആറടിയിൽ എത്ര ഇഞ്ചുണ്ട്?,count,NUM
അവർ എങ്ങനെയാണ് ഒരു വധശിക്ഷയ്ക്ക് സാക്ഷികളെ കണ്ടെത്തുന്നത് അല്ലെങ്കിൽ തിരഞ്ഞെടുക്കുന്നത്?,manner,DESC
1920കളിലെ കൗബോയ് താരം ടോണി ദി വണ്ടർ ഹോഴ്‌സിൽ കയറിയത് എന്താണ്?,ind,HUM
ഏത് കോക്ടെയ്ൽ ജോൺ ഡോക്‌സാറ്റിനെ ഇളക്കി-നോട്ട് കുലുക്കി എന്ന പുസ്തകം എഴുതാൻ പ്രേരിപ്പിച്ചു?,food,ENTY
കരീബിയനിൽ എന്ത് ISP-കൾ നിലവിലുണ്ട്?,gr,HUM
തീർത്തും അപരിചിതനായ ഒരാളോട് നിങ്ങൾ എങ്ങനെയാണ് ഒരു തീയതിയിൽ പോകാൻ ആവശ്യപ്പെടുക?,manner,DESC
പുരാണകഥാപാത്രമായ അപ്പോളോ ഏത് ആയുധത്തിലാണ് ഏറ്റവും പ്രഗത്ഭനായത്?,other,ENTY
ഗാലപാഗോസ് ദ്വീപുകൾ ഏത് രാജ്യത്തിന്റേതാണ്?,country,LOC
എന്താണ് എഥോളജി?,def,DESC
മുസ്ലിം ജനതയുടെ പ്രവാചകൻ ആരായിരുന്നു?,ind,HUM
`` 86ed' എന്ന പദം എവിടെ നിന്ന് വന്നു?,desc,DESC
ആരാണ് സ്നൂപ്പിയുടെ മുഖ്യ ശത്രു?,ind,HUM
പഠനത്തിന്റെ സ്വഭാവം എന്താണ്?,def,DESC
ജോണി കാഷ് സ്റ്റേജിൽ ധരിക്കുന്ന ഒരേയൊരു നിറമേത്?,color,ENTY
ഒരു യുവ കുറുക്കന്റെ പദം എന്താണ്?,termeq,ENTY
ആറ് പതാകകൾക്ക് കീഴിൽ ജീവിച്ചിരുന്ന യു.എസ്.,state,LOC
എന്താണ് കശ്മീർ പ്രശ്നം?,def,DESC
ലൂപ്പ് എവിടെയാണ്?,other,LOC
"`` വിപുലീകൃത നിർവ്വചനം' എന്താണ് അർത്ഥമാക്കുന്നത്, അതിൽ ഒരാൾ എങ്ങനെ ഒരു പേപ്പർ എഴുതും?",def,DESC
ടിറാന ഏത് രാജ്യത്തിന്റെ തലസ്ഥാനമാണ്?,country,LOC
എന്താണ് ടൈറ്റാനിയം?,def,DESC
ഹെർബും ടൂറ്റ്‌സിയും ആരുടെ അടുത്താണ് താമസിക്കുന്നത്?,ind,HUM
ലോസ് ഏഞ്ചൽസുമായി ഒരു സഹോദരി നഗരമെന്ന നിലയിൽ ഏറ്റവും പഴയ ബന്ധമുള്ള നഗരം ഏതാണ്?,city,LOC
എന്താണ് കാൽഡെറ?,def,DESC
എന്തുകൊണ്ടാണ് ആളുകൾക്ക് കോളസ് ഉണ്ടാകുന്നത്?,reason,DESC
റെയിംസിലെ വിനോദസഞ്ചാര കേന്ദ്രങ്ങളുടെ പേരുകൾ എന്തൊക്കെയാണ്?,other,LOC
കുഷ്മാനും വേക്ക്ഫീൽഡും എന്തിന് പേരുകേട്ടതാണ്?,reason,DESC
ഏത് ജലാശയത്തിലേക്കാണ് ഡാന്യൂബ് നദി ഒഴുകുന്നത്?,other,LOC
സയൻറോളജിയുടെ സ്ഥാപകൻ ആരാണ്?,ind,HUM
ആറടിയുള്ള മസ്‌ക ഡൊമസ്റ്റിക്‌സ് ഒരു വീട്ടിൽ പ്രവേശിച്ചാൽ അത് എന്താകും?,other,ENTY
സ്കേറ്റ്ബോർഡിംഗിന്റെ ചരിത്രം എന്താണ്?,desc,DESC
"സിംഗിംഗ് ഇൻ ദ റെയിൻ, ദി സിംഗിംഗ് നൺ എന്നിവയിൽ അഭിനയിച്ചത് ആരാണ്?",ind,HUM
റീസൈക്കിൾ ചെയ്ത പത്രത്തിൽ നിന്ന് ഇന്ധന ഇഷ്ടികകൾ എങ്ങനെ നിർമ്മിക്കാം?,manner,DESC
19-ാം നൂറ്റാണ്ടിലെ ഏത് ചിത്രകാരനാണ് മാർക്വേസസ് ദ്വീപുകളിൽ മരിച്ചത്?,ind,HUM
ശരീരത്തിന്റെ ഏത് ഭാഗത്താണ്?,body The corpus callosum is,ENTY
ആസ്ഥാനമായ യു.എസ്. യൂറോപ്യൻ കമാൻഡിലെ ഹോം പേജിലേക്ക് ഞാൻ എങ്ങനെയാണ് ലോഗിൻ ചെയ്യുക?,manner,DESC
"NNP NNP NNP-യിൽ 1, CD NNS നാസികൾ ഏത് രാജ്യമാണ് കൈവശപ്പെടുത്തിയത്?",country,LOC
നെബ്രാസ്കയിലെ ഏറ്റവും മൂല്യവത്തായ വിഭവം ഏതാണ്?,other,ENTY
ഗ്രേറ്റ് വൈറ്റ് സ്രാവിന്റെ എത്ര ഇനം ഉണ്ട്?,count,NUM
തല പേനിന്റെ ഉത്ഭവം എന്താണ്?,desc,DESC
മിസിസിപ്പി സംസ്ഥാനത്തിന്റെ വിളിപ്പേര് എന്താണ്?,state,LOC
ആദ്യമായി വളർത്തു പക്ഷി ഏതാണ്?,animal,ENTY
ചെറുകുടലിൽ എത്ര വില്ലികൾ കാണപ്പെടുന്നു?,count,NUM
വെൻസെസ്ലാസ് രാജാവ് ഭരിച്ച രാജ്യം?,country,LOC
നിഴലുകളുടെ ഭയം എന്താണ്?,dismed,ENTY
അഞ്ച് മാർക്സ് സഹോദരന്മാർ ആരായിരുന്നു?,ind,HUM
ANZUS സഖ്യത്തിൽ നിന്ന് ന്യൂസിലാൻഡിനെ ഒഴിവാക്കിയത് ഏത് വർഷമാണ്?,date,NUM
എപ്പോഴാണ് CNN പ്രക്ഷേപണം ആരംഭിച്ചത്?,date,NUM
തണുത്ത താപനിലയിൽ ശരീരം വിറയ്ക്കുന്നത് എന്താണ്?,reason,DESC
"കരടി, കാള വിപണികൾ എന്താണ്?",def,DESC
എന്ത് ജെ.ആർ.ആർ. ടോൾകീൻ പുസ്തകം ബിൽബോ ബാഗിൻസിനെ കേന്ദ്ര കഥാപാത്രമായി അവതരിപ്പിക്കുന്നു?,cremat,ENTY
എന്താണ് `` dew point'?,def,DESC
യേശുവിന്റെ അർത്ഥമെന്താണ്?,def,DESC
ഏത് കമ്പനിയുടെ ലോഗോയാണ് ഒരു സർക്കിളിൽ `` W'?,gr,HUM
ഒരു കാസ്കേഡിന്റെ നിർവചനം എന്താണ്?,def,DESC
എപ്പോഴാണ് റോക്കോകോ പെയിന്റിംഗും വാസ്തുവിദ്യയും വളർന്നത്?,date,NUM
ഏത് രാജ്യത്തിന്റെ ദേശീയ പാസഞ്ചർ റെയിൽ സംവിധാനത്തെ വയാ എന്ന് വിളിക്കുന്നു?,country,LOC
ആരാണ് മേക്കപ്പ് കണ്ടുപിടിച്ചത്?,ind,HUM
`` തട്ടിൽ' എന്ന വാക്കിന്റെ ഉത്ഭവം എന്താണ്?,desc,DESC
ദെലീല സാംസന്റെ മുടിയിൽ എന്തു ചെയ്തു?,desc,DESC
പാലിയോസോയിക് കാലഘട്ടത്തിൽ ഏതുതരം മൃഗങ്ങളായിരുന്നു?,animal,ENTY
ഇനിപ്പറയുന്നവയിൽ ആരായിരുന്നു റോഡ്‌സ് സ്കോളർ?,ind,HUM
ചാമ്പ്യൻസ് എന്നറിയപ്പെടുന്ന ഇപ്പോൾ പ്രവർത്തനരഹിതമായ കോമിക് ബുക്ക് ടീം ഉൾപ്പെട്ടത് ആരാണ്?,ind,HUM
നിങ്ങൾ എങ്ങനെ ഒരു പെയിന്റ്ബോൾ ഉണ്ടാക്കും?,manner,DESC
ഫോർട്ട് നോക്സ് ഏത് യുഎസിലാണ്?,state,LOC
പെൺ മുയലിനെ എന്താണ് വിളിക്കുന്നത്?,animal,ENTY
ജപ്പാനിലെ ഏറ്റവും ഉയർന്ന സ്ഥലം എവിടെയാണ്?,mount,LOC
ചിഹുവാഹുവകൾ എവിടെ നിന്ന് വരുന്നു?,desc,DESC
`` ഫ്ലിന്റ്‌സ്റ്റോൺസ്' കാർട്ടൂൺ പരമ്പരയിൽ ഫ്രെഡിനെ ഇറക്കിവിട്ട ശേഷം ബാർണി റൂബിൾ എവിടെയാണ് ജോലിക്ക് പോകുന്നത്?,other,LOC
ലോകത്തിലെ നാല് സമുദ്രങ്ങൾ ഏതൊക്കെയാണ്?,other,LOC
മൈക്കലാഞ്ചലോയുടെ കൈയൊപ്പുള്ള ഒരേയൊരു കൃതി ഏതാണ്?,cremat,ENTY
ലോകത്തിലെ ഏറ്റവും വലിയ പാമ്പ് ഏതാണ്?,animal,ENTY
ഏത് മാധ്യമത്തിലാണ് സ്റ്റുവർട്ട് ഹാംബ്ലെൻ ആദ്യമായി പാടുന്ന കൗബോയ് ആയി കണക്കാക്കപ്പെടുന്നത്?,cremat,ENTY
ഇന്റർനാഷണൽ ലിറിക്സ് സെർവറിന് സമാനമായ ഒരു ഗാന ലിറിക്സ് ഡാറ്റാബേസ് എനിക്ക് ഇന്റർനെറ്റിൽ എവിടെ കണ്ടെത്താനാകും?,other,LOC
ബാക്ക് ഇൻജുറി വ്യവഹാരത്തിന് എത്ര പണം ലഭിക്കും?,money,NUM
അസറ്റൈൽസാലിസിലിക് ആസിഡിന്റെ പൊതുവായ പേര് എന്താണ്?,termeq,ENTY
ജോർജ്ജ്ടൗൺ ``ഹോയ' എന്താണ് അർത്ഥമാക്കുന്നത്?,def,DESC
"5, 6 ക്ലാസുകളിലെ കുട്ടികൾ വായിക്കേണ്ട `` ക്ലാസിക്' പുസ്തകങ്ങളുടെ ഒരു ലിസ്റ്റ് എനിക്ക് എവിടെ കണ്ടെത്താനാകും?",other,LOC
ഏത് രണ്ട് ഉൽപ്പന്നങ്ങളാണ് കടുവയെ അവയുടെ പ്രതീകമായി ഉപയോഗിക്കുന്നത്?,product,ENTY
എങ്ങനെയാണ് ഒരു പുതിയ മാർപ്പാപ്പയുടെ തിരഞ്ഞെടുപ്പ് ലോകത്തെ അറിയിക്കുന്നത്?,manner,DESC
ശരീരത്തിലൂടെ ഒരു പൂർണ്ണമായ യാത്ര നടത്താൻ നിങ്ങളുടെ രക്തത്തിന് എത്ര സമയമെടുക്കും?,period,NUM
കോഴികൾക്ക് എങ്ങനെയാണ് കുഞ്ഞുങ്ങൾ ഉണ്ടാകുന്നത്?,manner,DESC
കത്തോലിക്കാ സഭയും ബിങ്കോയും തമ്മിലുള്ള ചരിത്രപരമായ ബന്ധം എന്താണ്?,desc,DESC
കാൽസ്യം മൂലകത്തിന് എങ്ങനെയാണ് പേര് ലഭിച്ചത്?,manner,DESC
പിസ്റ്റൾ പാക്കിൻ മാമയ്ക്ക് വേണ്ടി ആൻഡ്രൂസ് സിസ്റ്റേഴ്സിൽ ചേർന്നത് ആരാണ്?,ind,HUM
ഏത് പിയാനോ കമ്പനിയാണ് തങ്ങളുടെ ഉൽപ്പന്നം ``ഇൻസ്ട്രുമെന്റ് ഓഫ് ദി ഇമോർട്ടൽസ്' എന്ന് അവകാശപ്പെടുന്നത്?,gr,HUM
എപ്പോഴാണ് ബൗണ്ടി കലാപം നടന്നത്?,date,NUM
ബ്ലേഡ് റണ്ണർ എന്ന സിനിമയ്ക്ക് പ്രചോദനമായ നോവൽ?,cremat,ENTY
എന്താണ് ട്രാൻസിസ്റ്റർ?,def,DESC
ജൂഡ് ലോ അഭിനയിച്ച സിനിമ ഏതാണ്?,cremat,ENTY
1932-ൽ ജീൻ ഹാർലോയുടെ കൈകളിൽ ഏത് ഹോളിവുഡ് നായയാണ് മരിച്ചത്?,animal,ENTY
ഭൂമിയുടെ പുറംതോടിലെ ഏറ്റവും സാധാരണമായ മൂലകങ്ങൾ ഏതാണ്?,substance,ENTY
"വശങ്ങളുള്ള, 2 അടി സ്ക്വയർ പാർട്ടി ടെന്റ് വാങ്ങാൻ എത്ര ചിലവാകും?",money,NUM
ഏറ്റവും കൂടുതൽ ഓസ്കാർ നോമിനേഷനുകൾ ലഭിച്ച നടി?,ind,HUM
എന്താണ് ഇക്വിറ്റി സെക്യൂരിറ്റികൾ?,def,DESC
എന്താണ് ജിംനോഫോബിയ?,def,DESC
ഫോസിലുകൾ രൂപപ്പെടാൻ എത്ര വർഷമെടുക്കും?,count,NUM
ഒറിനോകോ എവിടെയാണ്?,other,LOC
ലിറ്റിൽ റാസ്കൽസ് നായയുടെ പേരെന്തായിരുന്നു?,animal,ENTY
ഡെലവെയർ നദിയുടെ തീരത്ത് പെൻസ് ലാൻഡിംഗ് അഭിമാനിക്കുന്ന നഗരം ഏതാണ്?,city,LOC
സെർവാന്റസിന്റെ ഡോൺ ക്വിക്സോട്ടിൽ നിന്ന് പ്രചോദനം ഉൾക്കൊണ്ട ബ്രോഡ്‌വേ സംഗീതം ഏതാണ്?,cremat,ENTY
ജെജെ എന്ന വാക്കിന്റെ ഉത്ഭവം എന്താണ്,desc,DESC
എന്റബെ റെയ്ഡിൽ എത്ര ബന്ദികൾ കൊല്ലപ്പെട്ടു?,count,NUM
നിങ്ങളുടെ ഐക്യു എങ്ങനെ ഉയർത്താം?,manner,DESC
ജീസസ് കുരിശിൽ ഉപയോഗിക്കുമ്പോൾ InRI എന്താണ് സൂചിപ്പിക്കുന്നത്?,exp,ABBR
ആരാണ് സ്പുമന്റെ ഉത്പാദിപ്പിക്കുന്നത്?,gr,HUM
ആരാണ് അവരുടെ പണം കഷ്ടപ്പെട്ട് സമ്പാദിക്കുന്നത്?,ind,HUM
പീപ്പിൾസ് ടെമ്പിൾ കമ്യൂൺ സ്ഥാപിച്ചത് ആരാണ്?,ind,HUM
ഏത് കായികതാരമാണ് സ്പോർട്സ് ചരക്ക് വിൽപ്പനയിൽ നിന്ന് ഏറ്റവും കൂടുതൽ പണം സമ്പാദിക്കുന്നത്?,ind,HUM
ഒരു സാധാരണ പേപ്പർ ക്ലിപ്പിൽ എത്ര വളവുകൾ ഉണ്ട്?,count,NUM
ആരാണ് വൈദ്യുതി കണ്ടുപിടിച്ചത്?,ind,HUM
നിങ്ങളുടെ ശരീരത്തിന്റെ ഏത് ഭാഗത്താണ് കോർപ്പസ് കാലോസം അടങ്ങിയിരിക്കുന്നത്?,body,ENTY
ബഹിരാകാശത്തെത്തിയ ആദ്യത്തെ അമേരിക്കക്കാരൻ ആരാണ്?,ind,HUM
ബ്രസീലുമായി അതിർത്തി പങ്കിടാത്ത രണ്ട് തെക്കേ അമേരിക്കൻ രാജ്യങ്ങൾ ഏതാണ്?,country,LOC
1967-ൽ ടൈമിന്റെ കവറിൽ ബീറ്റിൽസ് ഇടം നേടിയ ആൽബം ഏതാണ്?,cremat,ENTY
"ഏത് കവിതയിലാണ്, ``എന്നോടൊപ്പം വാർദ്ധക്യം പ്രാപിക്കുക, ഏറ്റവും മികച്ചത് ഇനിയും ആകണം'",cremat,ENTY
ഡെന്റൽ റൂട്ട് കനാൽ എന്താണ്?,def,DESC
ഏത് യുദ്ധത്തിന് ശേഷമാണ് വാനാ-ഗോ-ഹോം കലാപം നടന്നത്?,event,ENTY
ഏറ്റവും തിരക്കേറിയ വിമാനയാത്രാ സീസൺ ഏതാണ്?,date,NUM
കണ്ണിന്റെ നിറമുള്ള ഭാഗത്തെ എന്താണ് വിളിക്കുന്നത്?,body,ENTY
ഹുക്ക് വേമുകൾ എന്തൊക്കെയാണ്?,def,DESC
റോസ് ബൗൾ എവിടെയാണ് കളിക്കുന്നത്?,other,LOC
ഏത് ജാപ്പനീസ് കാർ നിർമ്മാതാവാണ് ആഭ്യന്തര വിപണിയിൽ ഏറ്റവും കൂടുതൽ വിൽപ്പന ശതമാനം നേടിയത്?,gr,HUM
മാർബെല്ലയുടെ മേയർ ആരാണ്?,ind,HUM
മൊജാവേ മരുഭൂമിയുടെ വടക്ക് ഭാഗത്ത് 14 മൈൽ വീതിയുള്ള ഏത് താഴ്‌വരയാണ് സൂര്യപ്രകാശം ഏൽക്കുന്നത്?,other,LOC
ഏത് വർഷമാണ് താച്ചർ പ്രധാനമന്ത്രിയായത്?,date,NUM
ചന്ദ്രൻ ഭൂമിയെ ചുറ്റാൻ എത്ര മാസമെടുക്കും?,count,NUM
49 പടികൾ എവിടെയാണ്?,other,LOC
ഡി ഗല്ലെ ഫ്രാൻസിന്റെ പ്രസിഡന്റായി തിരഞ്ഞെടുക്കപ്പെട്ട വർഷം?,date,NUM
``ഡോസൺസ് ക്രീക്കിനും` `` ഫെലിസിറ്റിക്കും' തീമുകൾ പാടിയതാരാണ്?,ind,HUM
ആരാണ് 'ജാസ്' സംവിധാനം ചെയ്തത്?,ind,HUM
ഏത് ടിവി ഷോ ടോം ടെറിഫിക്കിനെ കണ്ടെത്താനാകും?,cremat On,ENTY
ഏത് ഇന്ത്യൻ ഗോത്രവുമായാണ് എഫ് ട്രൂപ്പ് നിരന്തരം യുദ്ധം ചെയ്യുന്നത്?,gr,HUM
